code,location,infant,time_point,trimmed_seq_depth_bp,assembly_length,campaign
N2_061_025G1,infant_gut,N2_061,25,1055660556,6942592,NIH2
N2_061_082G1,infant_gut,N2_061,82,1290443688,13258421,NIH2
N2_064_009G1,infant_gut,N2_064,9,4579531418,11817145,NIH2
N2_064_011G1,infant_gut,N2_064,11,5018836158,17020573,NIH2
N2_064_013G1,infant_gut,N2_064,13,4114683312,24774382,NIH2
N2_064_016G1,infant_gut,N2_064,16,4051947268,21417500,NIH2
N2_064_017G1,infant_gut,N2_064,17,3408240440,19937258,NIH2
N2_064_020G1,infant_gut,N2_064,20,3160524618,33273083,NIH2
N2_064_025G1,infant_gut,N2_064,25,2289918684,35685456,NIH2
N2_064_027G1,infant_gut,N2_064,27,2384086730,40995871,NIH2
N2_064_031G1,infant_gut,N2_064,31,3427518030,42523374,NIH2
N2_064_036G1,infant_gut,N2_064,36,2789080000,44573649,NIH2
N2_064_043G1,infant_gut,N2_064,43,3491563330,47112888,NIH2
N2_065_008G1,infant_gut,N2_065,8,12763990582,7675232,NIH2
N2_065_009G1,infant_gut,N2_065,9,3241053706,17634123,NIH2
N2_065_011G1,infant_gut,N2_065,11,2841432690,20262130,NIH2
N2_065_014G1,infant_gut,N2_065,14,4510816292,13006424,NIH2
N2_065_017G1,infant_gut,N2_065,17,2212166658,14904583,NIH2
N2_065_019G1,infant_gut,N2_065,19,3616689428,18097290,NIH2
N2_065_022G1,infant_gut,N2_065,22,2742669500,15519479,NIH2
N2_065_024G1,infant_gut,N2_065,24,2985287040,17270188,NIH2
N2_065_026G1,infant_gut,N2_065,26,3684897524,15531146,NIH2
N2_065_029G1,infant_gut,N2_065,29,1148539280,14152465,NIH2
N2_065_038G1,infant_gut,N2_065,38,5260704344,25375295,NIH2
N2_065_046G1,infant_gut,N2_065,46,2260664924,31346512,NIH2
N2_065_052G1,infant_gut,N2_065,52,1981784932,20752910,NIH2
N2_065_059G1,infant_gut,N2_065,59,4558344928,29117469,NIH2
N2_066_009G1,infant_gut,N2_066,9,3144164104,13010090,NIH2
N2_066_011G1,infant_gut,N2_066,11,3555275490,11146183,NIH2
N2_066_013G1,infant_gut,N2_066,13,3229148098,11358833,NIH2
N2_066_015G1,infant_gut,N2_066,15,3232563652,11433633,NIH2
N2_066_017G1,infant_gut,N2_066,17,2776233606,19941428,NIH2
N2_066_019G1,infant_gut,N2_066,19,3201886844,27931843,NIH2
N2_066_021G1,infant_gut,N2_066,21,4886106526,29298024,NIH2
N2_066_024G1,infant_gut,N2_066,24,1644097770,19983200,NIH2
N2_066_031G1,infant_gut,N2_066,31,4804142378,20215617,NIH2
N2_066_033G1,infant_gut,N2_066,33,3710843746,22856468,NIH2
N2_066_037G1,infant_gut,N2_066,37,3812327304,20645487,NIH2
N2_066_048G1,infant_gut,N2_066,48,3490038720,13037757,NIH2
N2_066_050G1,infant_gut,N2_066,50,2860756832,17833226,NIH2
N2_066_060G1,infant_gut,N2_066,60,4928569976,34381674,NIH2
N2_066_064G1,infant_gut,N2_066,64,3595445578,34753238,NIH2
N2_069_014G1,infant_gut,N2_069,14,5716351276,22719081,NIH2
N2_069_015G1,infant_gut,N2_069,15,1762200670,9576740,NIH2
N2_069_017G1,infant_gut,N2_069,17,2698154378,10265795,NIH2
N2_069_018G1,infant_gut,N2_069,18,5188334864,17556103,NIH2
N2_069_019G1,infant_gut,N2_069,19,3340606520,15569629,NIH2
N2_069_021G1,infant_gut,N2_069,21,3149647778,15713735,NIH2
N2_069_024G1,infant_gut,N2_069,24,4201990450,17460586,NIH2
N2_069_027G1,infant_gut,N2_069,27,1865032440,14184975,NIH2
N2_069_028G1,infant_gut,N2_069,28,4503828186,22653977,NIH2
N2_069_029G1,infant_gut,N2_069,29,3250834012,18856401,NIH2
N2_070_016G1,infant_gut,N2_070,16,2662277408,22320974,NIH2
N2_070_019G1,infant_gut,N2_070,19,3302412674,38765645,NIH2
N2_070_020G1,infant_gut,N2_070,20,6156132532,11590315,NIH2
N2_070_024G1,infant_gut,N2_070,24,4518863356,10104420,NIH2
N2_070_027G1,infant_gut,N2_070,27,2866043946,22998295,NIH2
N2_070_030G1,infant_gut,N2_070,30,1653246032,17524056,NIH2
N2_070_036G1,infant_gut,N2_070,36,3363686874,40534140,NIH2
N2_070_042G1,infant_gut,N2_070,42,4833822118,35142675,NIH2
N2_070_057G1,infant_gut,N2_070,57,1913314002,29376570,NIH2
N2_070_060G1,infant_gut,N2_070,60,2714557036,35833994,NIH2
N2_071_007G1,infant_gut,N2_071,7,3120238080,13806538,NIH2
N2_071_008G1,infant_gut,N2_071,8,2635207410,16827218,NIH2
N2_071_010G1,infant_gut,N2_071,10,2518724208,22067515,NIH2
N2_071_013G1,infant_gut,N2_071,13,2687235230,25547590,NIH2
N2_071_015G1,infant_gut,N2_071,15,3297484204,26204682,NIH2
N2_071_017G1,infant_gut,N2_071,17,2496627532,27667781,NIH2
N2_071_019G1,infant_gut,N2_071,19,2814501404,31941064,NIH2
N2_071_021G1,infant_gut,N2_071,21,3260715602,32875770,NIH2
